series,episode,baker,signature_bake,technical,result,show_stopper,baker_last_name,baker_age,baker_occupation,hometown
6,7,Flora,Game Pie with Shallot and Apple Chutney,4,IN,"Raspberry, Pomegranate and Champagne Charlotte Russe",Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,7,Ian,Roadkill Pie,5,IN,Victoria's Crown Charlotte Russe,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,7,Nadiya,Aromatic Raised Game Pie,1,IN,Mango and Raspberry Charlotte Russe,Hussain,30,Full-time mother,Leeds / Luton
6,7,Paul,Not a Boaring Pie,2,IN,Charlotte Rose,Jagger,49,Prison governor,"Swansea, Wales"
6,7,Mat,Raised Venison and Pigeon Pie,6,OUT,Strawberry Charlotte Russe,Riley,37,Fire fighter,London
6,7,Tamal,Middle Eastern Game Pie,3,STAR BAKER,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",Ray,29,Trainee anaesthetist,Manchester
6,8,Flora,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,3,IN,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,8,Ian,Mont Blanc & Black Forest Gâteau Horns,2,IN,Nun with Hidden Passions,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,8,Tamal,Lime & Mascarpone and Malt Cream Horns,4,IN,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,Ray,29,Trainee anaesthetist,Manchester
6,8,Paul,Café Tipple & Banana Crunch-away Horns,5,OUT,Religieuse à l'ancienne,Jagger,49,Prison governor,"Swansea, Wales"
6,8,Nadiya,Rose Pistachio and Mocha Hazelnut Horns,1,STAR BAKER,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,Hussain,30,Full-time mother,Leeds / Luton
6,9,Ian,Chocolate and Bay Tart,3,IN,Chocolate Well,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,9,Tamal,Chocolate New York Pie,2,IN,Chocolate Bell Tower,Ray,29,Trainee anaesthetist,Manchester
6,9,Flora,Passion Fruit and Chocolate Tart,1,OUT,Cocoa Carousel,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,9,Nadiya,Peanut Salted Caramel and Chocolate Tart,4,STAR BAKER,Peacock in Nan's Door,Hussain,30,Full-time mother,Leeds / Luton
6,10,Ian,Elderflower and Lemon & Spiced Buns,2,Runner-up,Colossal Curvy Carrot Cake,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,10,Tamal,Cinnamon and Apple & Toffee and Marmalade Iced Buns,3,Runner-up,Sticky Toffee Pudding Cake,Ray,29,Trainee anaesthetist,Manchester
6,10,Nadiya,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,1,WINNER,My Big Fat British Wedding Cake,Hussain,30,Full-time mother,Leeds / Luton
7,1,Andrew,Lemon and Rosemary Drizzle Cake,12,IN,'Ultimate Indulgence' Mirror Glaze Cake,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,1,Benjamina,"Pistachio, Cardamom and Lemon Drizzle Cake",6,IN,White Chocolate Mirror Glaze with Salted Praline Buttercream,Ebuehi,23,Teaching assistant,South London
7,1,Candice,Raspberry and Rhubarb Drizzle Custard Bundt Cake,5,IN,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,1,Kate,Berry Best Apple and Bramble Drizzle Cake,4,IN,One Swallow Does Not Make A Summer Cake,Barmby,37,Nurse,"Brooke, Norfolk"
7,1,Louise,Orange Liqueur and Lemonade Drizzle Cake,9,IN,White Chocolate Trifle Mirror Glaze Cake,Williams,46,Hairdresser,Cardiff
7,1,Michael,"Lime, Ginger and Honey Drizzle Cake",3,IN,Matcha Tea Chocolate Mirror Glaze,Georgiou,20,Student,Durham
7,1,Rav,Ginger Spice Yuzu Drizzle Cake,8,IN,Colombian Mocha Mirror Glaze Cake,Bansal,28,Student support,Erith
7,1,Selasi,Citrus and Spice Drizzle Cake,1,IN,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake",Gbormittah,30,Client service associate,London
7,1,Tom,G&T Drizzle Cake,2,IN,Black Forest Broken Mirror,Gilliford,26,Project engagement manager,Rochdale
7,1,Val,Mum's Orange and Lemon Drizzle,10,IN,Chocolate Sponge with Four Fruit Frosting,Stones,66,"Semi-retired, Substitute teacher",Yeovil
7,1,Lee,St. Clements Orange and Lemon Drizzle Cake,11,OUT,Strawberry Surprise Mirror Cake,Banfield,67,Pastor,Bolton
7,1,Jane,Lemon and Poppy Seed Drizzle Cake,7,STAR BAKER,Chocolate Orange Mirror Cake,Beedle,61,Garden designer,Beckenham
7,2,Andrew,Beehive Biscuits,4,IN,Punting in Cambridge,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,2,Benjamina,Bouquet Biscuits,3,IN,"New York, New York",Ebuehi,23,Teaching assistant,South London
7,2,Jane,Flower Pot Iced Biscuits,2,IN,Hastings Old Town Fishing Net Shops and Boat,Beedle,61,Garden designer,Beckenham
7,2,Kate,"""A Biscuit for the Broads""",1,IN,"""I Promise I will do my best""",Barmby,37,Nurse,"Brooke, Norfolk"
7,2,Michael,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",9,IN,Trip to See Santa in Lapland,Georgiou,20,Student,Durham
7,2,Rav,Union Jack Bunting Biscuits,6,IN,Gingerbread Christmas Fairground,Bansal,28,Student support,Erith
7,2,Selasi,"""Wheelie Hot Iced Biscuits""",11,IN,Stained Glass Window Gingerbread Church,Gbormittah,30,Client service associate,London
7,2,Tom,Chai Frappelatteccino Biscuits,7,IN,Tom and Pod's Near Death Experience,Gilliford,26,Project engagement manager,Rochdale
7,2,Val,Sunday Treat Iced Ice Cream Cone Biscuits,5,IN,From Holland to New York via Yorkshire,Stones,66,"Semi-retired, Substitute teacher",Yeovil
7,2,Louise,Baa Bara Brith Biscuits,10,OUT,Gingerbread Wedding,Williams,46,Hairdresser,Cardiff
7,2,Candice,"Salted Caramel, Chocolate Iced Shiny Hearts",8,STAR BAKER,Gingerbread Pub with Sticky Ginger Carpet,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,3,Andrew,Chocolate Barmbrack Bread,2,IN,Braided Harvest Bread Basket,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,3,Benjamina,"Chocolate, Tahini and Almond Babka",6,IN,Braided Bread Heart,Ebuehi,23,Teaching assistant,South London
7,3,Candice,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",3,IN,Italian Light and Dark Rye Twist,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,3,Jane,Chocolate and Cranberry Couronne,9,IN,Chorizo and Chilli Flower with Parmesan and Pesto Centre,Beedle,61,Garden designer,Beckenham
7,3,Kate,Cobbled Loaf,8,IN,The Corn Maiden,Barmby,37,Nurse,"Brooke, Norfolk"
7,3,Rav,"Chocolate, Cardamom and Hazelnut Loaf",10,IN,Three Tier Diwali Bread Centrepiece,Bansal,28,Student support,Erith
7,3,Selasi,"Chocolate, Orange and Cinnamon Bread",5,IN,Bedouin Escape Tear and Share Bread,Gbormittah,30,Client service associate,London
7,3,Val,Double Chocolate Cinnamon Twist Loaf,1,IN,"""And They All Went Into The Ark To Get Out Of The Rain""",Stones,66,"Semi-retired, Substitute teacher",Yeovil
7,3,Michael,Chocolate and Chilli Swirl Plait,7,OUT,Cypriot Dove and Olive Branch Plaited Loaf with Houmous,Georgiou,20,Student,Durham
7,3,Tom,Chocolate Orange and Chilli Swirl Bread,4,STAR BAKER,Jörmungandr and Mjölnir,Gilliford,26,Project engagement manager,Rochdale
7,4,Andrew,Yorkshire 'Tapas' Puddings,4,IN,Churros Window Box,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,4,Candice,Yorkshire Wellingtons,2,IN,Two-Way Peanut Butter Churros,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,4,Jane,Meat and Two Veg Yorkshires,3,IN,Pistachio and White Chocolate Churros,Beedle,61,Garden designer,Beckenham
7,4,Rav,Thai Tofu Panang Yorkshires,9,IN,Three Dip Matcha Pistachio Churros,Bansal,28,Student support,Erith
7,4,Selasi,Perfect Sunday Roast Accompaniment,8,IN,Lemon and Anise Churros,Gbormittah,30,Client service associate,London
7,4,Tom,West Yorkshire Fusion Puddings,5,IN,Fennel Churros Snake In The Grass,Gilliford,26,Project engagement manager,Rochdale
7,4,Val,Mum's Chilli Yorkshire Puddings,6,IN,Orange Chocolate Churros,Stones,66,"Semi-retired, Substitute teacher",Yeovil
7,4,Kate,Christmas Dinner Compromise,7,OUT,Hot Cross Bunny Churros,Barmby,37,Nurse,"Brooke, Norfolk"
7,4,Benjamina,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",1,STAR BAKER,Tropical Churros,Ebuehi,23,Teaching assistant,South London
7,5,Andrew,Mum and Dad's Breakfast Pastries,6,IN,Spicy Chorizo Squash Parcels and Baklava Bites,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,5,Benjamina,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,5,IN,Plantain and Spinach Samosas and Chai Pear Cups,Ebuehi,23,Teaching assistant,South London
7,5,Jane,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish",1,IN,"Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",Beedle,61,Garden designer,Beckenham
7,5,Rav,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",8,IN,Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas,Bansal,28,Student support,Erith
7,5,Selasi,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels",3,IN,"Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",Gbormittah,30,Client service associate,London
7,5,Tom,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,4,IN,Yin and Yang Amuse-bouche,Gilliford,26,Project engagement manager,Rochdale
7,5,Val,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls",7,OUT,"Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",Stones,66,"Semi-retired, Substitute teacher",Yeovil
7,5,Candice,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish",2,STAR BAKER,"Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,6,Andrew,Tangy Lime and Ginger Meringue Pie,6,IN,Spring Elderflower Trio,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,6,Benjamina,Grapefruit and Ginger Meringue Pie,2,IN,Floral Tea Cake,Ebuehi,23,Teaching assistant,South London
7,6,Candice,"Lime, Coconut and Lemongrass Sugar Meringue Pie",5,IN,Four Seasons Cake,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,6,Jane,Lime and Coconut Meringue Pie,4,IN,Three Tier Orange Cake with a Floral Chocolate Collar,Beedle,61,Garden designer,Beckenham
7,6,Selasi,"Grapefruit, Orange and Mint Meringue Pie",7,IN,Three Tiered Ombré Floral Cake,Gbormittah,30,Client service associate,London
7,6,Rav,Mandarin Margarita Meringue Pie,3,OUT,Blossom Cake,Bansal,28,Student support,Erith
7,6,Tom,Blood Orange Halloween Pumpkin Pie,1,STAR BAKER,Floral Tea Cake,Gilliford,26,Project engagement manager,Rochdale
7,7,Benjamina,Piña Colada Roulade,3,IN,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake,Ebuehi,23,Teaching assistant,South London
7,7,Candice,Crowd Pleaser Roulade,2,IN,Blackberry and Raspberry Bubbles and After Dinner Mousse,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,7,Jane,Chocolate and Hazelnut Roulade,4,IN,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",Beedle,61,Garden designer,Beckenham
7,7,Selasi,Summer Picnic Roulade,6,IN,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",Gbormittah,30,Client service associate,London
7,7,Tom,Millionaire's Roulade,5,OUT,Hipster Picnic,Gilliford,26,Project engagement manager,Rochdale
7,7,Andrew,Tropical Holiday Roulade,1,STAR BAKER,Childhood Ice Cream Mousse Cakes,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,8,Andrew,Da Vinci Inspired Geared Pies,2,IN,Jousting Knights Marchpane,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,8,Jane,Tudor Rose Pies,5,IN,Swans,Beedle,61,Garden designer,Beckenham
7,8,Selasi,Bouquet of Flowers,3,IN,Fruity Tudor Marchpane,Gbormittah,30,Client service associate,London
7,8,Benjamina,Mexican Adventure,4,OUT,Tudor Garden,Ebuehi,23,Teaching assistant,South London
7,8,Candice,Cheesy Cheeky Fish Pies,1,STAR BAKER,Peacock,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,9,Candice,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",3,IN,Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,9,Jane,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",1,IN,Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies,Beedle,61,Garden designer,Beckenham
7,9,Selasi,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",4,OUT,Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies,Gbormittah,30,Client service associate,London
7,9,Andrew,Cheesy Elephant Ears and Herby Treble Clefs,2,STAR BAKER,Philharmonic Fondants,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,10,Andrew,Crunchy Caramel Cassis Crown,1,Runner-up,Family and Friends' Favourites Picnic,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,10,Jane,"Red, White and Blue Meringue Crown",3,Runner-up,Family Favourites Feast,Beedle,61,Garden designer,Beckenham
7,10,Candice,Queen Victoria's Mango and Strawberry Crown,2,WINNER,Picnic for Pearly Kings and Queens,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
8,1,Chris,Tropical Fresh Fruit Cake,12,IN,'Raised Pork Pie and Egg Surprise' Cake,Geiger,50,Software developer,Bristol
8,1,Flo,Citrus Layer Cake,9,IN,'One in a Melon' Cake,Atkins,71,Retired,Merseyside
8,1,James,"Orange, Rhubarb & Ginger Crumble Cake",2,IN,'Mock-accino and Croissant' Cake,Hillery,46,Banker,"Brentwood, Essex"
8,1,Julia,Courgette and Lemon Cake,3,IN,'Russian Doll' Cake,Chernogorova,21,Aviation Broker,"Crawley, West Sussex"
8,1,Kate,Moroccan Strawberry and Rose Cake,1,IN,'Chocolate Terrarium' Cake,Lyon,29,Health and safety inspector,Merseyside
8,1,Liam,Apple and Almond Crumble Maple Loaf,8,IN,'Stackin' Sunday' Cake,Charles,19,Student,North London
8,1,Sophie,Pineapple and Coconut Sandwich Cake,5,IN,'Champagne Bottle and Bucket' Cake,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,1,Stacey,Granny Smith Apple and Walnut Cake,11,IN,'Black Evening Clutch Bag' Cake,Hart,42,Former school teacher,"Radlett, Hertfordshire"
8,1,Tom,Gilded Pear and Cardamom Cake,7,IN,'Stack of Books' Cake,Hetherington,29,Architect,Edinburgh
8,1,Yan,Windfall Apple Crumble Cake,4,IN,'Banana-ramen' Cake,Tsou,46,Laboratory research scientist,North London
8,1,Peter,Coconut Cake,10,OUT,'Bread on a Breadboard' Cake,Abatan,52,IT programme manager,"Southend, Essex"
8,1,Steven,Bonfire Night Cake,6,STAR BAKER,'A Baker's Lunch' Cake,Carter-Bailey,34,Marketer,"Watford, Hertfordshire"
8,2,Flo,Gin Jam Butties,10,IN,'Pick My Bones' Game,Atkins,71,Retired,Merseyside
8,2,James,Rhubarb and Custard Whirls,3,IN,'Coppit' Game,Hillery,46,Banker,"Brentwood, Essex"
8,2,Julia,Middle Eastern Delight Sandwich Biscuits,4,IN,'A British Baking' Game,Chernogorova,21,Aviation Broker,"Crawley, West Sussex"
8,2,Kate,Coconut Seashells for a Titanic Afternoon Tea,8,IN,'Jungle' Game,Lyon,29,Health and safety inspector,Merseyside
8,2,Liam,Coffee Malted Pecan Shorties,7,IN,'Classroom Classics' Game,Charles,19,Student,North London
8,2,Sophie,Lemon Limoncino Sandwich Biscuits,2,IN,'Snakes and Ladders' Game,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,2,Stacey,Sparkly Chocolate and Marshmallow Fluff Cookies,9,IN,'Get to School' Game,Hart,42,Former school teacher,"Radlett, Hertfordshire"
8,2,Tom,Coffee and Amaretto Kisses,5,IN,'Drain Pipes and Ladders' Game,Hetherington,29,Architect,Edinburgh
8,2,Yan,'Mrs. Marian's PB 'n' B' Biscuits,1,IN,'Adventures in Bakeland' Game,Tsou,46,Laboratory research scientist,North London
8,2,Chris,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,11,OUT,'The Great British Sail Off' Game,Geiger,50,Software developer,Bristol
8,2,Steven,Amarpressi Biscuits,6,STAR BAKER,'Check Bake' Game,Carter-Bailey,34,Marketer,"Watford, Hertfordshire"
8,3,James,Nordic Teacakes,9,IN,'Owl in the Woods' Bread Sculpture,Hillery,46,Banker,"Brentwood, Essex"
8,3,Kate,Blueberry Buns,10,IN,'Kraken' Bread Sculpture,Lyon,29,Health and safety inspector,Merseyside
8,3,Liam,Jamaican Spiced Teacakes,5,IN,'Kneadapolitan' Bread Sculpture,Charles,19,Student,North London
8,3,Sophie,Tagine Teacakes,6,IN,'Picnic Basket' Bread Sculpture,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,3,Stacey,Cranberry and Cinnamon Teacakes,1,IN,'Ascot Hat' Bread Sculpture,Hart,42,Former school teacher,"Radlett, Hertfordshire"
8,3,Steven,Madras Cocktail Teacakes,3,IN,'The Bag I Knead' Bread Sculpture,Carter-Bailey,34,Marketer,"Watford, Hertfordshire"
8,3,Tom,Orange and Cranberry Teacakes,4,IN,'Pink & Yellow Rose Centrepiece' Bread Sculpture,Hetherington,29,Architect,Edinburgh
8,3,Yan,'Mrs P's' Masala Chai Spiced Teacakes,8,IN,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture,Tsou,46,Laboratory research scientist,North London
8,3,Flo,Cinnamon and Orange Teacakes,7,OUT,'Davy Jones' Locker' Bread Sculpture,Atkins,71,Retired,Merseyside
8,3,Julia,Earl Grey Dried Fruit Teacakes,2,STAR BAKER,'The Snail Under a Mushroom' Bread Sculpture,Chernogorova,21,Aviation Broker,"Crawley, West Sussex"
8,4,James,'Windy City' Millionaire Shortbreads,2,IN,Nutty Caramel Cake,Hillery,46,Banker,"Brentwood, Essex"
8,4,Julia,Pecan Salted Caramel Millionaire Shortbreads,9,IN,Poppy Seed Caramel Cake,Chernogorova,21,Aviation Broker,"Crawley, West Sussex"
8,4,Liam,Salted Peanut Butter Millionaire Shortbreads,3,IN,White Layered Ginger Caramel Cake,Charles,19,Student,North London
8,4,Sophie,Jaffa Millionaire Shortbreads,4,IN,Bird's Nest Caramel Cake,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,4,Stacey,Rum Salted Caramel Millionaire Shortbreads,1,IN,Chocolate and Coffee Caramel Cake,Hart,42,Former school teacher,"Radlett, Hertfordshire"
8,4,Steven,Orange Macadamia Nut Millionaire Shortbreads,7,IN,Caramel Crown Cake,Carter-Bailey,34,Marketer,"Watford, Hertfordshire"
8,4,Yan,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,8,IN,Animals of the Rainforest Caramel Cake,Tsou,46,Laboratory research scientist,North London
8,4,Tom,Stem Ginger Caramel Shortbreads,5,OUT,Hummingbird Cake,Hetherington,29,Architect,Edinburgh
8,4,Kate,Salted Bay Caramel Millionaire Shortbreads,6,STAR BAKER,Sticky Toffee Apple Caramel Cake,Lyon,29,Health and safety inspector,Merseyside
8,5,Julia,Orange & Treacle Steamed School Pudding,3,IN,'Opulent Ornament' Trifle Terrine,Chernogorova,21,Aviation Broker,"Crawley, West Sussex"
8,5,Kate,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,8,IN,'My Great Great Nan's' Raspberry Trifle Terrine,Lyon,29,Health and safety inspector,Merseyside
8,5,Liam,Cherries & Lemons that are 'Baked Well',2,IN,'Cheers Lads' Trifle Terrine,Charles,19,Student,North London
8,5,Stacey,Bakewell Tart Steamed School Pudding,4,IN,Tropical Trifle Terrine,Hart,42,Former school teacher,"Radlett, Hertfordshire"
8,5,Steven,Lemon & Blackcurrant Drizzle Steamed School Pudding,5,IN,'From Across the Jelly Pond' Trifle Terrine,Carter-Bailey,34,Marketer,"Watford, Hertfordshire"
8,5,Yan,Mango Fruit Hat Steamed School Pudding,6,IN,'Heart of a Hero' Trifle Terrine,Tsou,46,Laboratory research scientist,North London
8,5,James,Orange and Ginger Steamed School Pudding,7,OUT,'The Missed Silver Jubilee' Trifle Terrine,Hillery,46,Banker,"Brentwood, Essex"
8,5,Sophie,"Ginger, Fig and Honey Steamed School Pudding",1,STAR BAKER,"Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,6,Kate,'Vegetarian Pie Faces' Decorative Pies,5,IN,Potato Curry Pie with Mango & Chilli Glaze,Lyon,29,Health and safety inspector,Merseyside
8,6,Sophie,'The Four Seasons' Decorative Pies,2,IN,Game Pie with Glazed Forest Fruits,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,6,Stacey,'Love Theme' Decorative Pies,6,IN,Indian Hand Raised Pie with Mango,Hart,42,Former school teacher,"Radlett, Hertfordshire"
8,6,Steven,'Fleetwood Mac' Decorative Pies,3,IN,Christmas Pie,Carter-Bailey,34,Marketer,"Watford, Hertfordshire"
8,6,Yan,'πr2' Decorative Pies,1,IN,Chequerboard Pie,Tsou,46,Laboratory research scientist,North London
8,6,Julia,'Pies from the Tree' Decorative Pies,7,OUT,'Special Occasion' Pie,Chernogorova,21,Aviation Broker,"Crawley, West Sussex"
8,6,Liam,'Standard FC' Decorative Pies,4,STAR BAKER,'Nan's Sunday Dinner' Pie,Charles,19,Student,North London
8,7,Kate,'Happy Hour' Cocktail Cannoli,6,IN,'Flavour Fusion' Sfogliatelle,Lyon,29,Health and safety inspector,Merseyside
8,7,Liam,'Just Doing Me' Cannoli,2,IN,'Morning Delivery' Sfogliatelle,Charles,19,Student,North London
8,7,Sophie,'Classics with a Twist' Cannoli,3,IN,'Classics' Sfogliatelle,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,7,Stacey,My All Time Favourite Desserts,4,IN,Pastry Surprise,Hart,42,Former school teacher,"Radlett, Hertfordshire"
8,7,Yan,Cannoli Cocktails,5,OUT,Canadian-Style Sfogliatelle,Tsou,46,Laboratory research scientist,North London
8,7,Steven,Italian Style Cannoli,1,STAR BAKER,'Sicilian-style' Sfogliatelle,Carter-Bailey,34,Marketer,"Watford, Hertfordshire"
8,8,Kate,Burrito Bedfordshire Clangers,2,IN,'Liver Building Turret' Savoy Cake,Lyon,29,Health and safety inspector,Merseyside
8,8,Sophie,Char Siu & Banana Praline Bedfordshire Clangers,4,IN,Citrus with Green Apple Croquembouche Savoy Cake,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,8,Steven,'Mediterranean Medley' Bedfordshire Clangers,1,IN,Chestnut Rum Savoy Cake,Carter-Bailey,34,Marketer,"Watford, Hertfordshire"
8,8,Liam,'Take Out' Bedfordshire Clangers,5,OUT,'Fort Wizardore' Savoy Cake,Charles,19,Student,North London
8,8,Stacey,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,3,STAR BAKER,'Bright' Lemon & Orange Savoy Cake,Hart,42,Former school teacher,"Radlett, Hertfordshire"
8,9,Kate,Bellini and Valencian Orange Choux Buns,4,IN,'Rainbow' Meringue Centrepiece,Lyon,29,Health and safety inspector,Merseyside
8,9,Steven,Key Lime Cheesecake and Bakewell Tart Choux Buns,3,IN,'Some Air Over the Rainbow' Meringue Centrepiece,Carter-Bailey,34,Marketer,"Watford, Hertfordshire"
8,9,Stacey,'Choux-nicorn and Choux-moji' Choux Buns,2,OUT,'Flamingos in Love' Meringue Centrepiece,Hart,42,Former school teacher,"Radlett, Hertfordshire"
8,9,Sophie,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,1,STAR BAKER,'Tutu with Opera Filling' Meringue Centrepiece,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,10,Kate,"Roman Spelt, Coconut Kala Chana and Flower Breads",3,Runner-up,"White Chocolate, Yuzu and Lychee Entremet",Lyon,29,Health and safety inspector,Merseyside
8,10,Steven,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",1,Runner-up,'Yin Yang' Entremet,Carter-Bailey,34,Marketer,"Watford, Hertfordshire"
8,10,Sophie,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",2,WINNER,'Ode to the Honey Bee' Entremet,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
9,1,Antony,NA,12,IN,NA,Amourdoux,30,Banker,London
9,1,Briony,NA,2,IN,NA,Williams,33,Full-time parent,Bristol
9,1,Dan,NA,4,IN,NA,Beasley-Harling,36,Full-time parent,London
9,1,Jon,NA,5,IN,NA,Jenkins,47,Blood courier,Newport
9,1,Karen,NA,6,IN,NA,Wright,60,In-store sampling assistant,Wakefield
9,1,Kim-Joy,NA,10,IN,NA,Hewlett,27,Mental health specialist,Leeds
9,1,Luke,NA,8,IN,NA,Thompson,30,Civil servant/house and techno DJ,Sheffield
9,1,Rahul,NA,7,IN,NA,Mandal,30,Research scientist,Rotherham
9,1,Ruby,NA,1,IN,NA,Bhogal,29,Project manager,London
9,1,Terry,NA,9,IN,NA,Hartill,56,Retired air steward,West Midlands
9,1,Imelda,NA,11,OUT,NA,McCarron,33,Countryside recreation officer,County Tyrone
9,1,Manon,NA,3,STAR BAKER,NA,Lagrave,26,Software project manager,London
9,2,Antony,NA,9,IN,NA,Amourdoux,30,Banker,London
9,2,Briony,NA,5,IN,NA,Williams,33,Full-time parent,Bristol
9,2,Dan,NA,3,IN,NA,Beasley-Harling,36,Full-time parent,London
9,2,Jon,NA,1,IN,NA,Jenkins,47,Blood courier,Newport
9,2,Karen,NA,11,IN,NA,Wright,60,In-store sampling assistant,Wakefield
9,2,Kim-Joy,NA,4,IN,NA,Hewlett,27,Mental health specialist,Leeds
9,2,Manon,NA,6,IN,NA,Lagrave,26,Software project manager,London
9,2,Ruby,NA,10,IN,NA,Bhogal,29,Project manager,London
9,2,Terry,NA,8,IN,NA,Hartill,56,Retired air steward,West Midlands
9,2,Luke,NA,7,OUT,NA,Thompson,30,Civil servant/house and techno DJ,Sheffield
9,2,Rahul,NA,2,STAR BAKER,NA,Mandal,30,Research scientist,Rotherham
9,3,Briony,NA,9,IN,NA,Williams,33,Full-time parent,Bristol
9,3,Dan,NA,6,IN,NA,Beasley-Harling,36,Full-time parent,London
9,3,Jon,NA,2,IN,NA,Jenkins,47,Blood courier,Newport
9,3,Karen,NA,5,IN,NA,Wright,60,In-store sampling assistant,Wakefield
